"ensembl_gene_id","description","gene_biotype","gcContent","start_position","end_position","transcript_length","chr","band","gene_name","mirbase_id","geneLength"
"ENSG00000280969","ribosomal protein S4 Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:18501]","protein_coding",42.67,20756108,20781032,848,"Y","q11.223","RPS4Y2","",24924
"ENSG00000242875","RNA binding motif protein Y-linked family 1 member B [Source:HGNC Symbol;Acc:HGNC:23914]","protein_coding",39.86,21511338,21549094,1921,"Y","q11.223","RBMY1B","",37756
"ENSG00000172288","chromodomain Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:1809]","protein_coding",41.19,25622162,25624902,2177,"Y","q11.23","CDY1","",2740
"ENSG00000244395","RNA binding motif protein Y-linked family 1 member D [Source:HGNC Symbol;Acc:HGNC:23915]","protein_coding",37,21880076,21894526,1718,"Y","q11.223","RBMY1D","",14450
"ENSG00000165246","neuroligin 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:15529]","protein_coding",38.63,14522573,14845650,7368,"Y","q11.221","NLGN4Y","",323077
"ENSG00000183795","basic charge Y-linked 2B [Source:HGNC Symbol;Acc:HGNC:25449]","protein_coding",42.59,24607560,24639207,559,"Y","q11.23","BPY2B","",31647
"ENSG00000168757","testis specific protein Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23924]","protein_coding",53.2,6246223,6249019,779,"Y","p11.2","TSPY2","",2796
"ENSG00000169953","heat shock transcription factor Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23950]","protein_coding",39.22,18731440,18773735,1038,"Y","q11.222","HSFY2","",42295
"ENSG00000012817","lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]","protein_coding",38.66,19703865,19744939,5501,"Y","q11.223","KDM5D","",41074
"ENSG00000172468","heat shock transcription factor Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:18568]","protein_coding",39.22,18546691,18588963,1395,"Y","q11.222","HSFY1","",42272
"ENSG00000176679","TGFB induced factor homeobox 2 like Y-linked [Source:HGNC Symbol;Acc:HGNC:18569]","protein_coding",51.18,3579067,3580041,879,"Y","p11.2","TGIF2LY","",974
"ENSG00000228927","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","protein_coding",53.26,9398421,9401223,1161,"Y","p11.2","TSPY3","",2802
"ENSG00000169800","RNA binding motif protein Y-linked family 1 member F [Source:HGNC Symbol;Acc:HGNC:23974]","protein_coding",36.92,22168542,22182982,1862,"Y","q11.223","RBMY1F","",14440
"ENSG00000182415","chromodomain Y-linked 2A [Source:HGNC Symbol;Acc:HGNC:1810]","protein_coding",44.23,18025787,18027746,1960,"Y","q11.222","CDY2A","",1959
"ENSG00000229549","testis specific protein Y-linked 8 [Source:HGNC Symbol;Acc:HGNC:37471]","protein_coding",53.23,9357797,9360599,1161,"Y","p11.2","TSPY8","",2802
"ENSG00000172352","chromodomain Y-linked 1B [Source:HGNC Symbol;Acc:HGNC:23920]","protein_coding",41.35,24045229,24048019,2321,"Y","q11.23","CDY1B","",2790
"ENSG00000099721","amelogenin Y-linked [Source:HGNC Symbol;Acc:HGNC:462]","protein_coding",41.49,6865918,6911752,926,"Y","p11.2","AMELY","",45834
"ENSG00000185894","basic charge Y-linked 2C [Source:HGNC Symbol;Acc:HGNC:18225]","protein_coding",42.58,25030901,25062548,1206,"Y","q11.23","BPY2C","",31647
"ENSG00000205916","deleted in azoospermia 4 [Source:HGNC Symbol;Acc:HGNC:15966]","protein_coding",35.66,24833843,24907040,3277,"Y","q11.23","DAZ4","",73197
"ENSG00000129873","chromodomain Y-linked 2B [Source:HGNC Symbol;Acc:HGNC:23921]","protein_coding",44.31,17878260,17880220,1961,"Y","q11.222","CDY2B","",1960
"ENSG00000188120","deleted in azoospermia 1 [Source:HGNC Symbol;Acc:HGNC:2682]","protein_coding",35.94,23129355,23199010,4335,"Y","q11.223","DAZ1","",69655
"ENSG00000187191","deleted in azoospermia 3 [Source:HGNC Symbol;Acc:HGNC:15965]","protein_coding",36.06,24763069,24813492,3277,"Y","q11.23","DAZ3","",50423
"ENSG00000184895","sex determining region Y [Source:HGNC Symbol;Acc:HGNC:11311]","protein_coding",46.62,2786855,2787682,828,"Y","p11.2","SRY","",827
"ENSG00000129824","ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]","protein_coding",40.56,2841602,2932000,1189,"Y","p11.2","RPS4Y1","",90398
"ENSG00000067646","zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]","protein_coding",37.27,2935281,2982506,5113,"Y","p11.2","ZFY","",47225
"ENSG00000067048","DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]","protein_coding",37.7,12904108,12920478,2709,"Y","q11.221","DDX3Y","",16370
"ENSG00000183878","ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:HGNC Symbol;Acc:HGNC:12638]","protein_coding",37.54,13234577,13480673,4571,"Y","q11.221","UTY","",246096
"ENSG00000154620","thymosin beta 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:11882]","protein_coding",42.71,13703899,13706024,1337,"Y","q11.221","TMSB4Y","",2125
"ENSG00000129864","variable charge Y-linked [Source:HGNC Symbol;Acc:HGNC:12668]","protein_coding",61.97,13985772,13986473,510,"Y","q11.221","VCY","",701
"ENSG00000240654","C1q and TNF related 9 [Source:HGNC Symbol;Acc:HGNC:28732]","protein_coding",47.14,24307166,24322535,1854,"13","q12.12","C1QTNF9","",15369
"ENSG00000102699","poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]","protein_coding",42.87,24420931,24512778,5437,"13","q12.12","PARP4","",91847
"ENSG00000027001","mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]","protein_coding",39.76,23730189,23889400,543,"13","q12.12","MIPEP","",159211
"ENSG00000132972","ring finger protein 17 [Source:HGNC Symbol;Acc:HGNC:10060]","protein_coding",37.97,24764169,24879921,5102,"13","q12.12","RNF17","",115752
"ENSG00000150459","Sin3A associated protein 18 [Source:HGNC Symbol;Acc:HGNC:10530]","protein_coding",42.74,21140514,21149084,2298,"13","q12.11","SAP18","",8570
"ENSG00000139517","ligand of numb-protein X 2 [Source:HGNC Symbol;Acc:HGNC:20421]","protein_coding",37.61,27545913,27620529,4750,"13","q12.2","LNX2","",74616
"ENSG00000165487","mitochondrial calcium uptake 2 [Source:HGNC Symbol;Acc:HGNC:31830]","protein_coding",38.29,21492691,21604181,1811,"13","q12.11","MICU2","",111490
"ENSG00000132963","proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]","protein_coding",39.22,28659104,28678959,1338,"13","q12.3","POMP","",19855
"ENSG00000102781","katanin catalytic subunit A1 like 1 [Source:HGNC Symbol;Acc:HGNC:28361]","protein_coding",38.43,30202630,30307551,7618,"13","q12.3","KATNAL1","",104921
"ENSG00000154646","transmembrane serine protease 15 [Source:HGNC Symbol;Acc:HGNC:9490]","protein_coding",35.11,18269116,18485879,4076,"21","q21.1","TMPRSS15","",216763
"ENSG00000196199","M-phase phosphoprotein 8 [Source:HGNC Symbol;Acc:HGNC:29810]","protein_coding",43.32,19633659,19673441,4239,"13","q12.11","MPHOSPH8","",39782
"ENSG00000165480","spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262]","protein_coding",39.77,21153595,21176552,2745,"13","q12.11","SKA3","",22957
"ENSG00000236444","ubiquitin conjugating enzyme E2 L5 [Source:HGNC Symbol;Acc:HGNC:13477]","protein_coding",43.08,30422488,30429758,2176,"13","q12.3","UBE2L5","",7270
"ENSG00000133101","cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]","protein_coding",42.94,36431520,36442870,1751,"13","q13.3","CCNA1","",11350
"ENSG00000102678","fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]","protein_coding",42.92,21671073,21704498,4530,"13","q12.11","FGF9","",33425
"ENSG00000132952","ubiquitin specific peptidase like 1 [Source:HGNC Symbol;Acc:HGNC:20294]","protein_coding",38.94,30617693,30660770,1133,"13","q12.3","USPL1","",43077
"ENSG00000183463","ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase [Source:HGNC Symbol;Acc:HGNC:17785]","protein_coding",50.08,27977717,27988693,967,"13","q12.2","URAD","",10976
"ENSG00000189403","high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983]","protein_coding",41.99,30456704,30617597,5456,"13","q12.3","HMGB1","",160893
"ENSG00000120669","spermatogenesis and oogenesis specific basic helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:26026]","protein_coding",37.68,36168217,36214588,2125,"13","q13.3","SOHLH2","",46371
"ENSG00000139515","pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]","protein_coding",58.09,27920000,27926313,2603,"13","q12.2","PDX1","",6313
"ENSG00000133114","GPALPP motifs containing 1 [Source:HGNC Symbol;Acc:HGNC:20298]","protein_coding",38.86,44989529,45037669,899,"13","q14.12","GPALPP1","",48140
"ENSG00000120694","heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]","protein_coding",36.81,31134973,31162388,5244,"13","q12.3","HSPH1","",27415
"ENSG00000278961","small integral membrane protein 34B [Source:HGNC Symbol;Acc:HGNC:53650]","protein_coding",41.95,7784482,7793954,1455,"21","p11.2","SMIM34B","",9472
"ENSG00000280071","glutamine amidotransferase like class 1 domain containing 3B [Source:HGNC Symbol;Acc:HGNC:53816]","protein_coding",57.86,5079294,5128413,411,"21","p12","GATD3B","",49119
"ENSG00000083635","nuclear FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8057]","protein_coding",38.71,44939249,44989471,3480,"13","q14.12","NUFIP1","",50222
"ENSG00000277277","family with sequence similarity 243 member B [Source:HGNC Symbol;Acc:HGNC:53888]","protein_coding",46.49,7768884,7770591,1708,"21","p11.2","FAM243B","",1707
"ENSG00000154639","CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]","protein_coding",39.97,17513043,17593579,5593,"21","q21.1","CXADR","",80536
"ENSG00000102753","karyopherin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6396]","protein_coding",38.63,49699320,49792682,4222,"13","q14.2","KPNA3","",93362
"ENSG00000275993","salt inducible kinase 1B (putative) [Source:HGNC Symbol;Acc:HGNC:52389]","protein_coding",56.01,6111131,6123778,4747,"21","p12","SIK1B","",12647
"ENSG00000165475","crystallin lambda 1 [Source:HGNC Symbol;Acc:HGNC:18246]","protein_coding",44.52,20403666,20525873,1679,"13","q12.11","CRYL1","",122207
"ENSG00000079101","clusterin like 1 [Source:HGNC Symbol;Acc:HGNC:2096]","protein_coding",41.51,596988,650334,574,"18","p11.32","CLUL1","",53346
"ENSG00000156253","RWD domain containing 2B [Source:HGNC Symbol;Acc:HGNC:1302]","protein_coding",45.41,29004384,29019360,3065,"21","q21.3","RWDD2B","",14976
"ENSG00000165556","caudal type homeobox 2 [Source:HGNC Symbol;Acc:HGNC:1806]","protein_coding",57.01,27960918,27969315,3448,"13","q12.2","CDX2","",8397
"ENSG00000152520","poly(A) specific ribonuclease subunit PAN3 [Source:HGNC Symbol;Acc:HGNC:29991]","protein_coding",37.49,28138506,28295335,2443,"13","q12.2","PAN3","",156829
"ENSG00000186925","keratin associated protein 19-6 [Source:HGNC Symbol;Acc:HGNC:18941]","protein_coding",47.58,30541535,30541864,330,"21","q22.11","KRTAP19-6","",329
"ENSG00000156265","MAP3K7 C-terminal like [Source:HGNC Symbol;Acc:HGNC:16457]","protein_coding",40.51,29077471,29175889,1570,"21","q21.3","MAP3K7CL","",98418
"ENSG00000102547","calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]","protein_coding",38.37,49308650,49444064,3676,"13","q14.2","CAB39L","",135414
"ENSG00000158270","collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016]","protein_coding",43.13,316737,500722,492,"18","p11.32","COLEC12","",183985
"ENSG00000168454","thioredoxin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16470]","protein_coding",47.13,9885726,9889275,1703,"18","p11.22","TXNDC2","",3549
"ENSG00000255112","charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]","protein_coding",41.49,11851413,11854444,3032,"18","p11.21","CHMP1B","",3031
"ENSG00000141401","inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]","protein_coding",49.27,11981025,12030877,651,"18","p11.21","IMPA2","",49852
"ENSG00000102743","solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]","protein_coding",46.25,40789412,40812460,1142,"13","q14.11","SLC25A15","",23048
"ENSG00000120675","DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]","protein_coding",38.12,43023203,43114213,924,"13","q14.11","DNAJC15","",91010
"ENSG00000184032","keratin associated protein 20-2 [Source:HGNC Symbol;Acc:HGNC:18944]","protein_coding",46.38,30635206,30635619,414,"21","q22.11","KRTAP20-2","",413
"ENSG00000132975","G protein-coupled receptor 12 [Source:HGNC Symbol;Acc:HGNC:4466]","protein_coding",44.68,26755200,26760786,4851,"13","q12.13","GPR12","",5586
"ENSG00000188342","general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]","protein_coding",39.12,45120510,45284893,2228,"13","q14.12","GTF2F2","",164383
"ENSG00000170579","DLG associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2905]","protein_coding",39.67,3496032,4455307,5258,"18","p11.31","DLGAP1","",959275
"ENSG00000186965","keratin associated protein 19-2 [Source:HGNC Symbol;Acc:HGNC:18937]","protein_coding",47.97,30487043,30487436,394,"21","q22.11","KRTAP19-2","",393
"ENSG00000183640","keratin associated protein 8-1 [Source:HGNC Symbol;Acc:HGNC:18935]","protein_coding",51.73,30812697,30813274,578,"21","q22.11","KRTAP8-1","",577
"ENSG00000142207","URB1 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:17344]","protein_coding",46.41,32311018,32393012,10818,"21","q22.11","URB1","",81994
"ENSG00000132970","WASP family member 3 [Source:HGNC Symbol;Acc:HGNC:12734]","protein_coding",39.78,26557683,26688948,1300,"13","q12.13","WASF3","",131265
"ENSG00000232263","keratin associated protein 25-1 [Source:HGNC Symbol;Acc:HGNC:34003]","protein_coding",41.35,30289145,30289514,370,"21","q22.11","KRTAP25-1","",369
"ENSG00000187026","keratin associated protein 21-2 [Source:HGNC Symbol;Acc:HGNC:18946]","protein_coding",47.42,30746794,30747259,466,"21","q22.11","KRTAP21-2","",465
"ENSG00000154721","junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]","protein_coding",39.65,25639258,25717562,1757,"21","q21.3","JAM2","",78304
"ENSG00000133110","periostin [Source:HGNC Symbol;Acc:HGNC:16953]","protein_coding",32.94,37562583,37598844,3210,"13","q13.3","POSTN","",36261
"ENSG00000156256","ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]","protein_coding",38.76,29024629,29054488,2960,"21","q21.3","USP16","",29859
"ENSG00000079134","THO complex 1 [Source:HGNC Symbol;Acc:HGNC:19070]","protein_coding",37.31,214520,268050,2277,"18","p11.32","THOC1","",53530
"ENSG00000156282","claudin 17 [Source:HGNC Symbol;Acc:HGNC:2038]","protein_coding",44.56,30165565,30166805,1241,"21","q21.3","CLDN17","",1240
"ENSG00000166265","cysteine and tyrosine rich 1 [Source:HGNC Symbol;Acc:HGNC:16274]","protein_coding",37.29,26466209,26573286,3072,"21","q21.3","CYYR1","",107077
"ENSG00000159147","DNA replication fork stabilization factor DONSON [Source:HGNC Symbol;Acc:HGNC:2993]","protein_coding",37.85,33559542,33588706,528,"21","q22.11","DONSON","",29164
"ENSG00000186971","keratin associated protein 13-4 [Source:HGNC Symbol;Acc:HGNC:18926]","protein_coding",47.3,30430230,30431026,797,"21","q22.11","KRTAP13-4","",796
"ENSG00000243927","mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051]","protein_coding",40.3,34073224,34143034,909,"21","q22.11","MRPS6","",69810
"ENSG00000168502","microtubule crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:29121]","protein_coding",45.45,8705661,8832778,5718,"18","p11.22","MTCL1","",127117
"ENSG00000188694","keratin associated protein 24-1 [Source:HGNC Symbol;Acc:HGNC:33902]","protein_coding",42.51,30281309,30282950,1642,"21","q22.11","KRTAP24-1","",1641
"ENSG00000186930","keratin associated protein 6-2 [Source:HGNC Symbol;Acc:HGNC:18932]","protein_coding",55.27,30598590,30598902,313,"21","q22.11","KRTAP6-2","",312
"ENSG00000120658","ecto-NOX disulfide-thiol exchanger 1 [Source:HGNC Symbol;Acc:HGNC:25474]","protein_coding",39.04,43213518,43786908,2982,"13","q14.11","ENOX1","",573390
"ENSG00000244624","keratin associated protein 20-1 [Source:HGNC Symbol;Acc:HGNC:18943]","protein_coding",45.09,30616425,30616699,275,"21","q22.11","KRTAP20-1","",274
"ENSG00000187005","keratin associated protein 21-1 [Source:HGNC Symbol;Acc:HGNC:18945]","protein_coding",48.31,30755015,30755428,414,"21","q22.11","KRTAP21-1","",413
"ENSG00000206105","keratin associated protein 20-4 [Source:HGNC Symbol;Acc:HGNC:34002]","protein_coding",53.57,30620627,30620850,224,"21","q22.11","KRTAP20-4","",223
"ENSG00000151778","stress associated endoplasmic reticulum protein family member 2 [Source:HGNC Symbol;Acc:HGNC:20607]","protein_coding",44.49,44373665,44397714,747,"13","q14.11","SERP2","",24049
"ENSG00000177143","centrin 1 [Source:HGNC Symbol;Acc:HGNC:1866]","protein_coding",43.46,580380,582114,1735,"18","p11.32","CETN1","",1734
"ENSG00000141433","adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]","protein_coding",52.94,904871,912172,3259,"18","p11.32","ADCYAP1","",7301
"ENSG00000159131","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]","protein_coding",41.63,33503931,33543491,3318,"21","q22.11","GART","",39560
"ENSG00000102531","fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296]","protein_coding",37.08,48975912,49209779,6286,"13","q14.2","FNDC3A","",233867
"ENSG00000101574","methyltransferase like 4 [Source:HGNC Symbol;Acc:HGNC:24726]","protein_coding",36.78,2537525,2571509,3601,"18","p11.32","METTL4","",33984
"ENSG00000168461","RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]","protein_coding",43.6,9708275,9862551,3919,"18","p11.22","RAB31","",154276
"ENSG00000136169","SET domain bifurcated histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:20263]","protein_coding",37.41,49444374,49495003,6139,"13","q14.2","SETDB2","",50629
"ENSG00000250709","CCDC169-SOHLH2 readthrough [Source:HGNC Symbol;Acc:HGNC:38866]","protein_coding",38.13,36168794,36297842,2051,"13","q13.3","CCDC169-SOHLH2","",129048
"ENSG00000141447","oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]","protein_coding",40.87,24162045,24397880,4152,"18","q11.2","OSBPL1A","",235835
"ENSG00000183722","LHFPL tetraspan subfamily member 6 [Source:HGNC Symbol;Acc:HGNC:6586]","protein_coding",39.07,39209116,39603528,3385,"13","q14.11","LHFPL6","",394412
"ENSG00000179630","laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789]","protein_coding",36.87,43879284,43893932,705,"13","q14.11","LACC1","",14648
"ENSG00000226792","chromosome 13 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:42693]","protein_coding",41.97,51082119,51200252,3010,"13","q14.3","C13orf42","",118133
"ENSG00000136147","PHD finger protein 11 [Source:HGNC Symbol;Acc:HGNC:17024]","protein_coding",41.72,49495610,49528981,990,"13","q14.2","PHF11","",33371
"ENSG00000198743","solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038]","protein_coding",39.02,34073578,34106260,11566,"21","q22.11","SLC5A3","",32682
"ENSG00000186970","keratin associated protein 15-1 [Source:HGNC Symbol;Acc:HGNC:18927]","protein_coding",46.8,30440275,30440945,671,"21","q22.11","KRTAP15-1","",670
"ENSG00000231068","keratin associated protein 21-3 [Source:HGNC Symbol;Acc:HGNC:34216]","protein_coding",36.36,30718525,30718777,253,"21","q22.11","KRTAP21-3","",252
"ENSG00000159259","chromatin assembly factor 1 subunit B [Source:HGNC Symbol;Acc:HGNC:1911]","protein_coding",46.71,36385392,36419015,4466,"21","q22.12","CHAF1B","",33623
"ENSG00000156304","SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304]","protein_coding",38.15,31671000,31732118,4269,"21","q22.11","SCAF4","",61118
"ENSG00000023516","A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]","protein_coding",36.45,42272152,42323261,9915,"13","q14.11","AKAP11","",51109
"ENSG00000139656","small integral membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:28776]","protein_coding",44.67,44143150,44161257,1215,"13","q14.11","SMIM2","",18107
"ENSG00000204899","mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]","protein_coding",38.81,72708367,72727629,2231,"13","q21.33","MZT1","",19262
"ENSG00000280165","protocadherin 20 [Source:HGNC Symbol;Acc:HGNC:14257]","protein_coding",44.3,61409685,61415522,4778,"13","q21.2","PCDH20","",5837
"ENSG00000120685","proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291]","protein_coding",37.34,39009865,39038089,5182,"13","q13.3","PROSER1","",28224
"ENSG00000101557","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]","protein_coding",38.05,158383,214629,1803,"18","p11.32","USP14","",56246
"ENSG00000198445","chaperonin containing TCP1 subunit 8 like 2 [Source:HGNC Symbol;Acc:HGNC:15553]","protein_coding",55.19,16590751,16592810,2060,"22","q11.1","CCT8L2","",2059
"ENSG00000165837","glutamate rich 6B [Source:HGNC Symbol;Acc:HGNC:26523]","protein_coding",44.82,45534522,45615739,608,"13","q14.13","ERICH6B","",81217
"ENSG00000198062","POTE ankyrin domain family member H [Source:HGNC Symbol;Acc:HGNC:133]","protein_coding",37.08,15690026,15721631,2037,"22","q11.1","POTEH","",31605
"ENSG00000133116","klotho [Source:HGNC Symbol;Acc:HGNC:6344]","protein_coding",40.44,33016423,33066143,3214,"13","q13.1","KL","",49720
"ENSG00000136099","protocadherin 8 [Source:HGNC Symbol;Acc:HGNC:8660]","protein_coding",56.58,52842889,52848641,5088,"13","q14.3","PCDH8","",5752
"ENSG00000083535","progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]","protein_coding",36.99,72782133,73016461,3080,"13","q21.33","PIBF1","",234328
"ENSG00000186967","keratin associated protein 19-4 [Source:HGNC Symbol;Acc:HGNC:18939]","protein_coding",48.54,30496824,30497165,342,"21","q22.11","KRTAP19-4","",341
"ENSG00000093072","adenosine deaminase 2 [Source:HGNC Symbol;Acc:HGNC:1839]","protein_coding",48.88,17178790,17258235,4355,"22","q11.1","ADA2","",79445
"ENSG00000186977","keratin associated protein 19-5 [Source:HGNC Symbol;Acc:HGNC:18940]","protein_coding",48.87,30501657,30502141,485,"21","q22.11","KRTAP19-5","",484
"ENSG00000206432","transmembrane protein 200C [Source:HGNC Symbol;Acc:HGNC:37208]","protein_coding",44.76,5882072,5895955,10638,"18","p11.31","TMEM200C","",13883
"ENSG00000156261","chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]","protein_coding",38.32,29055805,29073797,556,"21","q21.3","CCT8","",17992
"ENSG00000176105","YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]","protein_coding",40.01,721588,812546,4554,"18","p11.32","YES1","",90958
"ENSG00000151773","coiled-coil domain containing 122 [Source:HGNC Symbol;Acc:HGNC:26478]","protein_coding",36.49,43823909,43879740,704,"13","q14.11","CCDC122","",55831
"ENSG00000136122","BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]","protein_coding",36.79,72727749,72756198,2760,"13","q21.33","BORA","",28449
